Logging started at 28-02-21 at 16:43:15
Timestamp, Longitude, Latitude, Altitude, Roll, Pitch, Yaw, Velocity, Groundspeed, Airspeed, Current, Voltage
16:43:15.292268, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.295964, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.297855, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.299001, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.300137, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.301288, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.302553, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.304094, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.305509, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.306712, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.307906, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.309936, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.311190, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.312415, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.313915, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.315122, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.316688, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.318033, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.319310, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.322352, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.324273, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.325563, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.326873, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.328137, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.329355, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.330478, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.331777, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.333679, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
16:43:15.334868, None, None, None, None, None, None, [None, None, None], None, None, 0, 0
